,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
3098,Bi39Cu40O40Se40Sm,BiCuOSe,ZT,,[0.65],[823.0],0.65,823.0,JMC_data
3099,Bi39Cu40O40Se40Sm,BiCuOSe,ZT,,[0.65],[823.0],0.65,823.0,JMC_data
3100,BiCuOSe,BiCuOSe,ZT,,[0.52],[823.0],0.52,823.0,JMC_data
3101,Bi39Cu40O40Se40Sm,BiCuOSe,ZT,,[0.65],[823.0],0.65,823.0,JMC_data
3102,BiCuOSe,BiCuOSe,ZT,,[0.84],[750.0],0.84,750.0,JMC_data
3103,Bi44Ca3Cu50Pb3Se50,None,ZT,,[1.5],[873.0],1.5,873.0,JMC_data
3104,OZn,OZn,ZT,,[0.02],[673.0],0.02,673.0,JMC_data
3105,Bi2Te3,Bi2Te3,ZT,,[1.47],[453.0],1.47,453.0,JMC_data
3106,Bi13Sb37Te75,BiSb3Te6,ZT,,[0.2],"[300.0, 500.0]",0.2,400.0,JMC_data
3107,OZn,OZn,ZT,,[0.1],[295],0.1,295.0,JMC_data
3108,InSe2Tl,InSe2Tl,ZT,,[2.0],[500.0],2.0,500.0,JMC_data
3109,PbTe,PbTe,ZT,,[1.8],[500.0],1.8,500.0,JMC_data
3110,Pb,Pb,ZT,,[1.12],[773.0],1.12,773.0,JMC_data
3111,SeSn,SeSn,ZT,,[2.6],[923.0],2.6,923.0,JMC_data
3112,Pb,Pb,ZT,,[1.12],[773.0],1.12,773.0,JMC_data
3113,Pb,Pb,ZT,,[1.12],[773.0],1.12,773.0,JMC_data
3114,Pb,Pb,ZT,,[1.12],[773.0],1.12,773.0,JMC_data
3115,Co205Fe195Ge8Nd54Sb1199,CoFeSb4,ZT,,[1.1],"[650.0, 780.0]",1.1,715.0,JMC_data
3116,AgISn19Te19,SnTe,ZT,,[1.05],[860.0],1.05,860.0,JMC_data
3117,AgISn19Te19,SnTe,ZT,,[1.05],[860.0],1.05,860.0,JMC_data
3118,AgISn19Te19,SnTe,ZT,,[1.05],[860.0],1.05,860.0,JMC_data
3119,SnTe,SnTe,ZT,,[1.1],[873.0],1.1,873.0,JMC_data
3120,AgISn19Te19,SnTe,ZT,,[1.05],[860.0],1.05,860.0,JMC_data
3121,AgISn19Te19,SnTe,ZT,,[1.05],[856.0],1.05,856.0,JMC_data
3122,I3Sn200Te197,SnTe,ZT,,[0.6],[700.0],0.6000000000000001,700.0,JMC_data
3123,SnTe,SnTe,ZT,,[1.05],[856.0],1.05,856.0,JMC_data
