,sorted_formula,host_material,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1608,BiNdO7Ru2,BiNdO7Ru2,Seebeck,,[3.5e-05],[1000.0],3.5e-05,1000.0,JMC_data
1609,BaO3Sn,BaO3Sn,Seebeck,,[-0.0003],[900.0],-0.00030000000000000003,900.0,JMC_data
1610,OZn,OZn,Seebeck,,[-0.00011499999999999999],[473.0],-0.00011499999999999999,473.0,JMC_data
1611,OZn,OZn,Seebeck,,[-0.0003137],[295],-0.0003137,295.0,JMC_data
1612,O3SrTi,O3SrTi,Seebeck,,[0.00105],[295],0.0010500000000000002,295.0,JMC_data
1613,Al2O3,Al2O3,Seebeck,,[4.4999999999999996e-05],[295],4.5e-05,295.0,JMC_data
1614,CoSb3,CoSb3,Seebeck,,[0.00018999999999999998],[295],0.00019,295.0,JMC_data
1615,CuInSe2,CuInSe2,Seebeck,,[0.00015],[300.0],0.00015,300.0,JMC_data
1616,CoSb3,CoSb3,Seebeck,,[0.000147],[615.0],0.000147,615.0,JMC_data
1617,O3Y2,O3Y2,Seebeck,,[-0.05],"[900.0, 1000.0]",-0.05,950.0,JMC_data
1618,GeSi,GeSi,Seebeck,,[0.000115],[373.0],0.00011499999999999999,373.0,JMC_data
1619,BiSb3Te6,BiSb3Te6,Seebeck,,[0.00025],[300.0],0.00025,300.0,JMC_data
1620,Bi3SbTe6,None,Seebeck,,[9.999999999999999e-05],[300.0],0.0001,300.0,JMC_data
1621,Mg2Si,Mg2Si,Seebeck,,[-0.00075],[295],-0.00075,295.0,JMC_data
1622,Ca4Mn3O10,Ca4Mn3O10,Seebeck,,[-0.00029499999999999996],[300.0],-0.000295,300.0,JMC_data
1623,Ca4Mn3O10,Ca4Mn3O10,Seebeck,,[-0.000345],[300.0],-0.00034500000000000004,300.0,JMC_data
1624,Cu7Ni3,Cu3Ni,Seebeck,,[-4.87e-05],[823.0],-4.870000000000001e-05,823.0,JMC_data
1625,HfNi2Sn2Zr10,None,Seebeck,,[6.3e-05],[295],6.3e-05,295.0,JMC_data
1626,Cu2Se,Cu2Se,Seebeck,,[0.000278],[873.0],0.000278,873.0,JMC_data
1627,AgNO3,AgNO3,Seebeck,,[1.2e-05],[335.0],1.2e-05,335.0,JMC_data
1628,CePd3,CePd3,Seebeck,,[9.999999999999999e-05],[135.0],0.0001,135.0,JMC_data
1629,Mg2Si,Mg2Si,Seebeck,,[-0.0006799999999999999],[600.0],-0.0006799999999999999,600.0,JMC_data
1630,BCOY,None,Seebeck,,[2.4999999999999998e-06],[300.0],2.5e-06,300.0,JMC_data
1631,ACTV,VC,Seebeck,,[3.726e-05],[295],3.726e-05,295.0,JMC_data
1632,CoGeTe,CoGeTe,Seebeck,,[-0.000164],[300.0],-0.000164,300.0,JMC_data
1633,AlNiZr2,None,Seebeck,,[2.56e-05],[295],2.56e-05,295.0,JMC_data
1634,AlNiZr2,None,Seebeck,,[4.73e-05],[150.0],4.73e-05,150.0,JMC_data
1635,AlNiZr2,None,Seebeck,,[4.28e-05],[800.0],4.28e-05,800.0,JMC_data
