,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
1890,As2Se3,Conductivity,,"[1000.0, 1000.0]",[295],1000.0,295.0,JMC_data
1891,Bi20Se3Te27,Conductivity,,[0.000317],[295],0.000317,295.0,JMC_data
1892,O2Ti,Conductivity,,[112780.0],[295],112780.0,295.0,JMC_data
1893,MnSi,Conductivity,,[27000.0],[300.0],27000.0,300.0,JMC_data
1894,HMS,Conductivity,,[17000.0],[300.0],17000.0,300.0,JMC_data
1895,C2O,Conductivity,,[10000.0],[295],10000.0,295.0,JMC_data
1896,Ba4Si23,Conductivity,,[550000.0],[400.0],550000.0,400.0,JMC_data
1897,Cu7Ni3,Conductivity,,[1530000.0],[823.0],1530000.0,823.0,JMC_data
1898,ClNa,Conductivity,,[0.2],[295],0.2,295.0,JMC_data
1899,DEOPT,Conductivity,,[16.400000000000002],[295],16.4,295.0,JMC_data
1900,Ba121Bi33O1600Rh800,Conductivity,,[6700.0],[295],6700.0,295.0,JMC_data
1901,LuO3Rh,Conductivity,,[10.0],[295],10.0,295.0,JMC_data
1902,O4Rh2Zn,Conductivity,,[70.0],[295],70.0,295.0,JMC_data
1903,S,Conductivity,,[13633.0],[373.0],13633.0,373.0,JMC_data
1904,Ca2GeSb9Yb9,Conductivity,,[88300.0],[300.0],88300.0,300.0,JMC_data
1905,Ca2Sb10Yb9,Conductivity,,[88600.0],[700.0],88600.0,700.0,JMC_data
1906,Ca3Co4O9,Conductivity,,[8000.0],[295],8000.0,295.0,JMC_data
1907,BiCuOSe,Conductivity,,[112.00000000000001],[300.0],112.0,300.0,JMC_data
1908,BaBi7Cu8O8Se8,Conductivity,,[53500.0],[300.0],53500.0,300.0,JMC_data
1909,CaMnO3,Conductivity,,"[10.0, 100.0]","[300.0, 1000.0]",55.0,650.0,JMC_data
1910,CaMnO3,Conductivity,,[11340.0],[950.0],11340.0,950.0,JMC_data
1911,GaIn19O30,Conductivity,,[40000.0],[973.0],40000.0,973.0,JMC_data
1912,ACS,Conductivity,,"[20000.0, 40000.0]",[295],30000.0,295.0,JMC_data
1913,COV,Conductivity,ionic,[1.0],[295],1.0,295.0,JMC_data
1914,La3Li7O12Zr2,Conductivity,ionic,[0.037000000000000005],[295],0.037000000000000005,295.0,JMC_data
1915,Al3Li13O120P30Ti17,Conductivity,,[0.06999999999999999],[298.0],0.07,298.0,JMC_data
1916,LiNOP,Conductivity,ionic,[0.00019999999999999998],[298.0],0.0002,298.0,JMC_data
1917,GeLi10P2S12,Conductivity,ionic,[1.2000000000000002],[295],1.2,295.0,JMC_data
