,sorted_formula,Model,Model_Type,Value,Temperature_Value,Value_Average,Temperature_Average,source
2744,NiSnTi,ThermCond,electronic,[6.9],[295],6.9,295.0,JMC_data
2745,NiSnTi,ThermCond,lattice,[5.2],[295],5.2,295.0,JMC_data
2746,BiITe,ThermCond,lattice,[0.6],[295],0.6000000000000001,295.0,JMC_data
2747,Bi2Te3,ThermCond,lattice,[1.1],[295],1.1,295.0,JMC_data
2748,Cu49Ga50Te100,ThermCond,lattice,[6.62],[300.0],6.62,300.0,JMC_data
2749,PbSe,ThermCond,lattice,[1.81],[295],1.81,295.0,JMC_data
2750,SeSn,ThermCond,total,[0.88],[773.0],0.88,773.0,JMC_data
2751,Cu,ThermCond,total,[0.27],[773.0],0.27,773.0,JMC_data
2752,CoSb3,ThermCond,total,[9.0],[350.0],9.0,350.0,JMC_data
2753,DEOPT,ThermCond,total,[0.17],[295],0.17,295.0,JMC_data
2754,HNaO,ThermCond,total,[0.173],[295],0.17300000000000001,295.0,JMC_data
2755,CoSb3,ThermCond,total,[10.0],[300.0],10.0,300.0,JMC_data
2756,CoSb3,ThermCond,total,[0.6],[295],0.6000000000000001,295.0,JMC_data
2757,Ba6Co125Sb375,ThermCond,lattice,[0.36],[295],0.36,295.0,JMC_data
2758,BiSb3Te6,ThermCond,total,[1.0],[348.0],1.0,348.0,JMC_data
2759,Co5Hf4Sb4SnTi,ThermCond,total,[2.7],[1073.0],2.7,1073.0,JMC_data
2760,NiSnTi,ThermCond,total,"[7.0, 8.0]",[300.0],7.5,300.0,JMC_data
2761,Bi6Pb5Se14,ThermCond,lattice,[0.72],[295],0.72,295.0,JMC_data
2762,Bi2Pb3S6,ThermCond,total,[0.67],[723.0],0.67,723.0,JMC_data
2763,Bi4Pb7Se13,ThermCond,total,[0.33],[300.0],0.33,300.0,JMC_data
2764,BiCuOSe,ThermCond,total,[0.75],[300.0],0.75,300.0,JMC_data
2765,OZn,ThermCond,total,[15.0],[358.0],15.0,358.0,JMC_data
2766,OZn,ThermCond,total,[15.0],[573.0],15.0,573.0,JMC_data
2767,NiPbZr,ThermCond,lattice,[14.5],[295],14.5,295.0,JMC_data
2768,Co10Hf5Sb2Sn8Zr5,ThermCond,total,[3.7],[295],3.7,295.0,JMC_data
2769,Ag25PbSb24Se50,ThermCond,total,[0.3],[610.0],0.30000000000000004,610.0,JMC_data
2770,AgSbSe2,ThermCond,total,[0.75],[295],0.75,295.0,JMC_data
2771,Ag100Sb99Se200Sn,ThermCond,lattice,[0.29],[673.0],0.29,673.0,JMC_data
2772,AgCl,ThermCond,lattice,[0.31],[775.0],0.31,775.0,JMC_data
2773,Ge125Mg1000Sb11Sn364,ThermCond,total,[0.2],[723.0],0.2,723.0,JMC_data
2774,Mg200SbSn99,ThermCond,total,[1.2],[723.0],1.2,723.0,JMC_data
2775,PbTe,ThermCond,total,[2.6],[295],2.6,295.0,JMC_data
2776,CNTs,ThermCond,total,[3000.0],[295],3000.0,295.0,JMC_data
2777,Cu2S,ThermCond,lattice,[0.33],[448.0],0.33,448.0,JMC_data
2778,SnTe,ThermCond,total,[1.5],"[323.0, 800.0]",1.5,561.5,JMC_data
2779,SnTe,ThermCond,total,[0.6],[803.0],0.6000000000000001,803.0,JMC_data
2780,SnTe,ThermCond,total,"[1.6, 1.3]","[325.0, 575.0]",1.45,450.0,JMC_data
2781,Ca3Co4O9,ThermCond,total,[1.41],[973.0],1.41,973.0,JMC_data
2782,BaSb2Zn2,ThermCond,total,[1.6],[300.0],1.6,300.0,JMC_data
2783,BaSb2Zn2,ThermCond,total,[1.2],[295],1.2,295.0,JMC_data
2784,Sb2SrZn2,ThermCond,total,[2.25],[295],2.25,295.0,JMC_data
2785,CrSi2,ThermCond,lattice,[0.44],[300.0],0.44,300.0,JMC_data
2786,Bi2Te3,ThermCond,total,[0.59],[295],0.59,295.0,JMC_data
2787,Cu59Se500Sn441,ThermCond,total,[0.32],[823.0],0.32,823.0,JMC_data
2788,Ni20Sb41Sn19,ThermCond,total,[2.0],[295],2.0,295.0,JMC_data
2789,Cu4S16Sn7,ThermCond,lattice,[1.0],[295],1.0,295.0,JMC_data
2790,Brillouin,ThermCond,lattice,[0.78],[300.0],0.78,300.0,JMC_data
2791,Cu3SbSe3,ThermCond,lattice,"[0.5, 0.6]",[300.0],0.55,300.0,JMC_data
2792,Cu12S13Sb4,ThermCond,lattice,[0.65],[295],0.65,295.0,JMC_data
2793,TeZn,ThermCond,total,[18.0],[300.0],18.0,300.0,JMC_data
2794,TeZn,ThermCond,total,"[1.8, 4.0]",[295],2.9,295.0,JMC_data
2795,CdO,ThermCond,total,[8.0],[295],8.0,295.0,JMC_data
2796,SZn,ThermCond,total,[130.0],[300.0],130.0,300.0,JMC_data
2797,CuFeS2,ThermCond,total,[5.09],[300.0],5.09,300.0,JMC_data
2798,AgBiSe2,ThermCond,total,[0.62],[295],0.62,295.0,JMC_data
2799,Se3Sn20Te17,ThermCond,lattice,[1.27],[300.0],1.27,300.0,JMC_data
2800,Se3Sn20Te17,ThermCond,total,[2.3],[295],2.3,295.0,JMC_data
2801,OZn,ThermCond,lattice,[0.61],[370.0],0.61,370.0,JMC_data
2802,AgBiCl6Cs2,ThermCond,lattice,[0.078],[300.0],0.078,300.0,JMC_data
2803,AgBiCl6Cs2,ThermCond,lattice,[0.078],[295],0.078,295.0,JMC_data
2804,AgBiCl6Cs2,ThermCond,total,[72.63],[295],72.63,295.0,JMC_data
2805,AgBiCl6Cs2,ThermCond,lattice,[0.078],[300.0],0.078,300.0,JMC_data
2806,AgBiBr6Cs2,ThermCond,total,[72.63],[300.0],72.63,300.0,JMC_data
2807,Pb10S3Te7,ThermCond,total,[0.64],[300.0],0.64,300.0,JMC_data
2808,AgBiSSe,ThermCond,total,[0.29],[823.0],0.29,823.0,JMC_data
2809,AgBiSSe,ThermCond,total,[0.46],[300.0],0.46,300.0,JMC_data
2810,Bi2Te3,ThermCond,lattice,[1.47],[295],1.47,295.0,JMC_data
