,composition_name,bulk_mod,num_atoms,volume,density,spacegroup,spacegroup_num
1299,F4Na1Ti1,79.51427754765562,24,334.0018578305553,2.920352574957066,P2_1/c,14
1300,P1Pd6,142.87033249759207,28,433.7272176137505,10.252716467851727,P2_1/c,14
1301,C2I2,11.688793846427192,32,1428.0060295401752,2.5845724676964665,P4_2/n,86
1302,H4Mg10O18Si3,141.0684325166471,70,644.341842617882,3.1921485594348944,Pnnm,58
1303,Br2Cu2O6Sr2Te1,73.64006260061937,26,474.9728117318154,4.794767420214298,P2_1/c,14
1304,Mn1Nb3S6,106.98380182920349,20,366.4937211469363,4.766913325738757,P6_322,182
1305,Ag5O6Pb2,84.06534428260355,13,208.3860793855865,8.36490598369441,P-31m,162
1306,H2As4Cu3K4O16,67.20115967875084,58,850.0913216931827,3.5345128432405177,P2_1/c,14
1307,As1Eu1K1S4,39.32857704444814,14,397.36772243986724,3.2949701787507992,P2_1/m,11
1308,C4H11Ag1O3S3,60.46192427065444,88,1051.4143156424523,1.9659070707998343,P2_1/c,14
1309,O128Si64,79.9773051816201,72,1258.1348693553516,1.9032425830232869,Pm-3n,223
1310,O96Si48,79.9773051816201,72,1258.1348693553516,1.9032425830232869,Pm-3n,223
1311,C5H6K3N1O13S1U1,66.42254735095828,120,1754.0053873640854,2.5579753233560094,P2_1/c,14
1312,O8Rb1S2Tl1,69.11487880975285,12,191.4744028801334,4.17988234085968,R32,155
1313,Al1F7Mg1Na2,81.60729147742298,22,269.5468818151167,2.83696293142573,Imma,74
1314,Mn1P4,100.56260740006333,20,300.75894073134725,3.9494664611506227,C2/c,15
1315,Ba14Ca1N6Na21,15.512785654175019,42,1691.4868278477568,2.483201488100851,C2/m,12
1316,Bi7F11O5,81.0784465868027,23,355.3948718983076,8.185268556440638,C2,5
1317,Ga4Li1Y1,68.22521311097587,6,113.43045148343633,5.485903406534744,P-6m2,187
1318,H54Li4N18P14,44.53201164922425,90,1083.9670485305815,1.1764235658851032,P-1,2
1319,Al1B4Cr3,228.72995857088665,8,69.88886307994977,5.374775033486165,Pmmm,47
1320,Li3Mo2O14P3,91.36831690009116,176,2245.3960518858366,3.133337188355174,P2_1/c,14
1321,Al1F6Na3,75.58700705697849,20,245.15032253751852,2.8440972027137765,P2_1/c,14
1322,B1Dy1Fe14Nd1,180.04575277177238,68,922.4974813193023,7.915765441636047,P4_2/mnm,136
1323,Na2O5Si2,81.96623307285331,36,488.7897424769421,2.475200090175199,P2_1/c,14
1324,Au5Na7S6,42.742149480754954,72,1721.4334108067999,5.163260757965632,Pbcn,60
1325,H16B4U1,75.86868157349109,84,730.942204021478,2.7025077094351255,P4_32_12,96
1326,K1O7Si2U1,102.98274572737672,44,716.6031806690536,4.127406183364171,P4/mbm,127
1327,H12Ga7Na5O6S13,52.39923416950857,86,1404.4847834732313,2.667169191382936,F-43c,219
1328,Cr1O4W1,156.6478318839566,12,132.7077699083577,7.503487891885197,C2/m,12
1329,Cl1Li1O4,58.353322559127584,24,302.2787466187022,2.3378078695149656,Pnma,62
1330,Ba2Fe3O8Y1,111.65442315157563,14,190.4561865549996,5.746438570617371,P4/mmm,123
1331,Cl10Re6Te8,30.324785299357398,96,3069.1429921623603,5.394356917071705,Pna2_1,33
1332,H12N3O15Sm1,61.805729554004934,62,747.5900009485623,1.9744881200760267,P-1,2
1333,Cs1I3Pb1,15.740075415313301,20,960.7123597937926,4.983584807356961,Pnma,62
1334,B5Pd14Y2,168.18552117184512,42,593.4104112933635,9.635920111034979,I4_1/amd,141
1335,H6Co1K1N6O8,64.37874874554123,88,1017.2703743260097,2.0640354742872677,P2_12_12_1,19
1336,Na2O4S1,70.03270529036618,28,364.81365399998623,2.5861589071147995,Pnma,62
1337,Ba1Mn2O6Tb1,146.0714783223381,20,241.77307337127502,6.897359590163009,Pmma,51
1338,P4Ru1,105.97341826492904,10,156.61377406707018,4.770503144424128,P2_1/c,14
1339,H1Li1Nd2O3,163.33282964179773,7,82.74895833896694,6.911765117099287,Immm,71
1340,F6O10Pr4Se3,129.99631834879133,46,679.1622510196079,5.254240657722316,C2/c,15
1341,H3B1Ga1K1O10P2,64.09028561033011,36,462.9548137793657,2.4720246256820473,P1,1
1342,Cs2F12K1Mn3,52.40783580198127,36,638.221245924545,3.6306063158153865,C2/c,15
1343,Ba3O26Si4Ta6,137.74523644377527,39,565.9287129198037,5.9446415035324485,P-62m,189
1344,H8Cl1N4P1,57.36639745613173,56,613.5178895472759,1.4130229433378907,Pbcn,60
1345,C2Co3O10Se2,100.94256676084362,34,433.6348621181176,3.9728342117015214,C2/m,12
1346,H5F1N2,90.16937611134819,64,472.1166823277086,1.4646134360295127,P2_12_12_1,19
1347,B1Ba2Cl17Zr6,53.88051951761986,26,698.6813820012848,3.4117417422332044,I4/m,87
1348,O9V5,165.59919422748504,56,598.0643405106914,4.42802132238897,P-1,2
1349,Fe1La2O2Se2,105.91369999796727,14,285.5407999650577,6.089611783404191,C2/m,12
1350,C3Cl5Gd6,95.7111261368085,14,306.9959472854457,6.257107931439635,C2/m,12
1351,Cs4I6Re6Se8,30.921535490398867,96,3571.559385423091,5.657261180867791,P2_1/c,14
1352,Pu1S2,135.413509381616,6,118.15892151149362,8.660571644464227,P4/nmm,129
1353,Li1O3Rb1Zn2,71.27829617371583,28,382.95712825734665,4.704231101669746,P4_2/mnm,136
1354,F15Tb4,107.98406072933712,38,611.747910692562,4.998205448420107,R-3c,167
1355,C16H44Cl4Pd2Si4Te2,43.69513918029361,288,4057.36256841795,1.5694756914159405,P-1,2
1356,C1H2Ca2O16Si4Y2,126.47069055199518,108,1294.4826040217135,3.2855983208205135,Pnma,62
1357,Cu6O8Pb1,136.91878031857004,15,164.1570088747013,7.247503020732331,Immm,71
1358,Mo6O24Rb8Th1,61.3996687916059,78,1501.92788572883,4.146916849948737,C2/c,15
