,composition_name,original_file_name
304,N9Pr9Se6Si3,POSCAR_sg148_icsd_414020
305,C24H86F2Mg6O24,POSCAR_sg14_icsd_173104
306,Au1Cu3Sn1,POSCAR_sg198_icsd_611766
307,Ca3Ga4O9,POSCAR_sg35_icsd_100356
308,N1O2Si1Y1,POSCAR_sg6_icsd_100014
309,N1O2Si1Y1,POSCAR_sg178_icsd_151752
310,N1O2Si1Y1,POSCAR_sg63_icsd_044163
311,C6H18Co1O10S1,POSCAR_sg14_icsd_034053
312,H14Na2O13P2,POSCAR_sg15_icsd_009061
313,H8B2Sm1,POSCAR_sg60_icsd_193946
314,H2As2Cu1Fe2O10,POSCAR_sg2_icsd_079695
315,H2As2Cu1Fe2O10,POSCAR_sg61_icsd_065026
316,Be1Hf1,POSCAR_sg63_icsd_616286
317,Sc2Te3,POSCAR_sg70_icsd_171145
318,Cs2N12Pd1,POSCAR_sg14_icsd_421607
319,Co4Ge12In1Yb7,POSCAR_sg83_icsd_158002
320,Ge8Mn11,POSCAR_sg62_icsd_040468
321,H24K6Mn1Na2O36W6,POSCAR_sg166_icsd_200749
322,C6H26Cl2N12O20U2,POSCAR_sg2_icsd_185526
323,Na4S4Sn1,POSCAR_sg114_icsd_042035
324,Na3O3P1S1,POSCAR_sg161_icsd_412368
325,Fe3O12P3Sr1,POSCAR_sg74_icsd_088719
326,Ca2O7Sb2,POSCAR_sg227_icsd_238545
327,Cl6Fe1Hf1,POSCAR_sg163_icsd_039817
328,C74H129Cl9O28P14Pd36,POSCAR_sg2_icsd_251814
329,Ni1S5Ta2,POSCAR_sg63_icsd_061147
330,C16Ir6O16,POSCAR_sg15_icsd_201884
331,C16Ir6O16,POSCAR_sg13_icsd_201885
332,C4H2Cd1N4S6,POSCAR_sg60_icsd_169719
333,C1H1N3O1,POSCAR_sg7_icsd_187381
334,F4K1Mo1Na1O2,POSCAR_sg129_icsd_422707
335,H4As1Na1O6Zn1,POSCAR_sg2_icsd_407316
336,C4H9Cu1N3O6,POSCAR_sg33_icsd_248006
337,K3Nb1O16S4,POSCAR_sg62_icsd_201010
338,Cs1P7,POSCAR_sg57_icsd_428141
339,C1H2Cl11N2P3,POSCAR_sg14_icsd_170281
340,Cu3I3P8Se6,POSCAR_sg62_icsd_422538
341,Ca2F1N1,POSCAR_sg227_icsd_059926
342,B3Cl1La2,POSCAR_sg174_icsd_417604
343,C12H3Cl1O12Os4,POSCAR_sg14_icsd_059296
344,B6O13Zn4,POSCAR_sg217_icsd_015800
345,Cs2S8Sb4,POSCAR_sg2_icsd_067976
346,Mo5O16U1,POSCAR_sg3_icsd_080162
347,Ge4Na4S10,POSCAR_sg63_icsd_025382
348,C2La1Li1N4,POSCAR_sg11_icsd_420440
349,Cu1Hf1K1S3,POSCAR_sg63_icsd_409293
350,Ba1F1O6P1U1,POSCAR_sg14_icsd_249983
351,H42Er6N8O50,POSCAR_sg14_icsd_418836
352,H42Er6N8O50,POSCAR_sg15_icsd_418830
353,H33B12Li2N7,POSCAR_sg14_icsd_166942
354,C8B2Cu1N8,POSCAR_sg12_icsd_415546
355,O5Si2Sr1,POSCAR_sg64_icsd_171567
