compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
Ca1O5Si1Ti1,89769,15,3.2,2.842,2.813,4,1,27.97,2.81,2.85,1.67,0.42,Non-Zintl
Ca1O5Si1Ti1,36184,15,3.2,2.869,2.781,4,1,18.47,2.77,2.9,1.66,0.42,Non-Zintl
Ca1O5Si1Ti1,9839,15,3.2,2.851,2.824,4,1,17.44,2.8,2.84,1.67,0.42,Non-Zintl
Ca1O6Si2Zn1,168048,15,4.04,2.715,0.106,3,1,9.05,2.24,289.27,1.63,3.8,Non-Zintl
Ca1O6V2,166516,12,2.77,2.91,5.214,5,4,4.55,0.71,0.29,2.53,1.42,Non-Zintl
Ca1O7Si2Zr1,203131,5,4.88,6.181,3.365,1,1,55.67,1.03,2.55,0.22,0.31,Non-Zintl
Ca1P1,26261,189,0.38,0.322,0.437,2,1,4.93,43.82,27.74,2.5,1.04,Non-Zintl
Ca1P2Zn2,100062,164,0.87,0.171,0.26,3,3,6.29,114.73,61.35,5.69,4.43,Non-Zintl
Ca1P3,74479,2,0.02,0.198,0.451,4,2,5.34,64.2,18.61,7.66,2.34,Non-Zintl
Ca1Rb1Sb1,409178,129,1.5,2.283,0.086,8,1,1.08,0.62,85.05,4.45,3.99,Non-Zintl
Ca1S1,619529,225,2.37,0.693,0.304,3,3,12.87,11.94,41.02,1.52,2.49,Non-Zintl
Ca1S3Zr1,23286,62,1.52,0.426,0.27,1,3,4.64,28.6,56.76,1.46,5.75,Non-Zintl
Ca1S4Sc2,27181,62,1.59,0.9,0.47,1,1,3.94,9.65,25.58,0.96,1.42,Non-Zintl
Ca1S4Y2,619557,62,1.8,1.039,0.307,1,1,3.39,7.48,46.53,0.93,1.94,Non-Zintl
Ca1Se1,619571,225,2.07,0.571,0.291,3,3,6.44,13.41,36.91,2.15,3.23,Non-Zintl
Ca1Si1Sr1,172005,62,0.45,1.449,0.155,2,1,2.21,2.38,68.19,1.36,2.61,Non-Zintl
Ca1Te1,41959,62,1.63,0.337,0.318,2,3,7.52,22.42,24.52,3.38,5.25,Non-Zintl
Ca1Te1,52792,221,0.04,0.124,0.292,12,6,2.14,110.08,30.56,24.92,7.46,Non-Zintl
Ca1Te1,60202,225,1.55,0.433,0.283,3,3,3.11,14.45,27.32,2.99,3.85,Non-Zintl
Ca2Cd1P2,422580,36,1.32,0.423,0.195,1,3,2.87,20.14,64.27,1.42,6.76,Non-Zintl
Ca2Cd1Sb2,173172,62,0.37,0.231,0.243,1,2,1.16,27.41,25.39,3.49,6.76,Non-Zintl
Ca2Ga2O5,51545,46,2.18,2.072,0.075,1,1,9.44,5.04,727.44,0.56,4.13,Non-Zintl
Ca2Ge1O4,182051,164,3.39,15.268,0.142,1,1,3.8,0.13,149.89,0.17,2.88,Non-Zintl
Ca2Ge1O4,16258,139,2.91,0.872,0.16,5,1,66.29,19.5,249.06,3.45,1.91,Non-Zintl
Ca2Ge1O4,173459,62,3.59,4.459,0.135,2,1,4.99,1.04,196.6,0.82,3.35,Non-Zintl
Ca2Ge1S4,23416,62,2.54,2.812,1.059,2,3,2.96,1.01,4.37,1.09,2.94,Non-Zintl
Ca2Hf7O16,4136,148,4.21,3.878,0.298,1,1,8.34,2.74,128.21,0.51,2.36,Non-Zintl
Ca2Mg1O7Si2,94145,113,4.48,3.665,0.159,3,1,14.47,1.45,160.08,1.22,2.68,Non-Zintl
Ca2N2Zn1,69049,139,0.74,0.984,1.204,2,5,11.59,9.61,7.09,1.23,2.72,Non-Zintl
Ca2N8Si5,79070,9,3.35,1.683,0.213,6,1,37.33,8.78,195.54,3.34,1.93,Non-Zintl
Ca2O4Pb1,36629,55,1.5,2.894,0.116,1,1,4.82,2.49,312.5,0.52,3.59,Non-Zintl
Ca2O4Si1,40657,139,4.35,0.921,0.255,6,1,8.63,20.64,141.77,3.63,1.31,Non-Zintl
Ca2O4Si1,182053,186,4.19,4.771,0.152,1,1,6.97,0.9,157.3,0.32,2.49,Non-Zintl
Ca2O4Si1,79552,14,4.72,6.661,0.136,2,1,7.65,0.64,218.01,0.62,3.19,Non-Zintl
Ca2O4Si1,182052,164,4.18,3.308,0.14,3,1,5.54,1.72,197.15,1.14,2.53,Non-Zintl
Ca2O4Si1,81095,62,4.23,1.809,0.187,7,1,6.43,4.31,129.27,4.46,2.48,Non-Zintl
Ca2O4Sn1,9011,55,2.73,3.592,0.099,2,1,6.8,2.04,448.25,0.78,3.39,Non-Zintl
Ca2O6Pd1W1,83259,25,1.86,1.389,1.518,6,2,3.01,7.58,6.63,5.44,1.72,Non-Zintl
Ca2O6Pd1W1,83258,225,0.88,0.474,0.497,6,1,3.36,42.34,39.52,7.9,1.28,Non-Zintl
Ca2O6Si1Ti1,83455,225,2.61,1.713,1.334,3,3,7.87,10.3,14.99,1.3,1.51,Non-Zintl
Ca2O7Si2Zn1,30262,113,4.05,2.529,0.145,2,1,12.75,2.55,185.88,1.09,3.02,Non-Zintl
Ca2O9Pb1Si3,18098,2,4.39,4.239,1.107,3,1,4.74,0.8,5.96,1.65,1.23,Non-Zintl
Ca2Si1,25595,62,0.27,0.525,0.147,1,1,3.68,11.2,75.59,1.11,2.38,Non-Zintl
Ca3Ga2N4,170442,15,1.94,0.614,0.052,1,1,6.56,26.18,1066.58,1.19,5.25,Non-Zintl
Ca3Ga2P4,423781,15,0.96,0.18,0.284,1,2,4.75,84.79,42.92,2.52,3.84,Non-Zintl
Ca3Ge1O1,413383,62,0.24,0.098,0.135,3,2,2.32,220.06,137.09,11.34,6.26,Non-Zintl
Ca3In1P3,60125,62,1.01,0.356,0.172,2,2,2.36,24.96,74.39,4.09,6.33,Non-Zintl
Ca3N2,169726,12,1.37,2.388,0.089,1,1,5.4,2.13,294.41,0.47,3.39,Non-Zintl
Ca3N2,162797,194,1.4,0.575,0.079,23,1,10.02,14.29,282.25,25.17,3.61,Non-Zintl
Ca3N2,419865,167,0.77,2.742,0.086,5,1,8.21,1.87,336.07,1.8,2.87,Non-Zintl
Ca3N2,162793,60,1.29,2.96,0.073,7,1,5.43,1.69,432.82,3.01,3.96,Non-Zintl
Ca3O1Si1,413382,62,0.24,0.119,0.126,3,2,2.76,171.87,156.87,8.95,5.75,Non-Zintl
Ca3O5Si1,24625,160,3.26,6.85,0.137,1,1,6.41,0.65,230.02,0.28,2.9,Non-Zintl
Ca3O5Si1,81100,8,3.74,5.47,0.121,2,1,4.51,0.69,210.11,0.72,3.54,Non-Zintl
Ca3O7Ti2,86241,36,2.74,7.011,0.872,3,2,16.59,0.93,21.2,0.77,1.78,Non-Zintl
Ca3O9Si3,4442,2,4.74,4.204,0.129,2,1,6.83,0.97,180.61,0.88,3.53,Non-Zintl
Ca4N4Ti1,172879,2,1.48,0.652,0.259,7,1,6.59,19.22,76.82,7.23,1.8,Non-Zintl
Ca5Ga2N4,40372,64,0.02,1.611,1.656,4,4,7.85,4.77,4.57,2.67,2.62,Non-Zintl
Ca5In2Sb6,36467,55,0.2,0.63,0.394,2,3,1.46,8.38,16.98,3.61,7.18,Non-Zintl
Ca5N6Si2,414462,15,2.18,0.486,0.179,5,1,6.92,33.53,149.25,6.72,2.44,Non-Zintl
Ca5P8,74854,12,1.17,0.506,0.5,6,4,3.98,17.55,17.85,6.72,4.51,Non-Zintl
Ca6Ga1N5,33795,193,0.82,1.976,0.12,8,1,10.05,3.07,204.54,4.82,3.23,Non-Zintl
Cd1Cr2S4,657592,227,1.1,2.326,2.021,1.5,0.5,5.79,2.59,3.2,0.76,0.28,Non-Zintl
Cd1Cr2S4,619688,227,1.1,2.325,2.021,1.5,0.5,5.79,2.6,3.2,0.76,0.28,Non-Zintl
Cd1Cr2S4,619693,227,1.1,2.322,2.017,1.5,0.5,5.79,2.6,3.21,0.77,0.28,Non-Zintl
Cd1Cr2S4,619692,227,1.1,2.322,2.02,1.5,0.5,5.79,2.6,3.21,0.77,0.28,Non-Zintl
Cd1Cr2S4,619689,227,1.1,2.325,2.02,1.5,0.5,5.79,2.6,3.21,0.76,0.28,Non-Zintl
Cd1Cr2S4,42021,227,1.1,2.327,2.021,1.5,0.5,5.79,2.59,3.2,0.76,0.28,Non-Zintl
Cd1Cr2S4,619695,227,1.1,2.323,2.019,1.5,0.5,5.79,2.6,3.21,0.76,0.28,Non-Zintl
Cd1Cr2S4,619686,227,1.1,2.324,2.021,1.5,0.5,5.79,2.6,3.2,0.76,0.28,Non-Zintl
Cd1Cr2S4,39415,227,1.1,2.322,2.017,1.5,0.5,5.79,2.6,3.21,0.77,0.28,Non-Zintl
Cd1Cr2S4,657591,227,1.1,2.322,2.019,1.5,0.5,5.79,2.6,3.21,0.77,0.28,Non-Zintl
Cd1Cr2S4,657590,227,1.1,2.322,2.019,1.5,0.5,5.79,2.6,3.21,0.77,0.28,Non-Zintl
Cd1Cr2S4,619697,227,1.1,2.324,2.019,1.5,0.5,5.79,2.6,3.21,0.76,0.28,Non-Zintl
Cd1Cr2Se4,619712,227,0.38,1.373,1.273,1.5,0.5,3.35,4.57,5.12,1.27,0.44,Non-Zintl
Cd1Cr2Se4,52795,227,0.38,1.382,1.311,1.5,0.5,3.35,4.52,4.9,1.27,0.44,Non-Zintl
Cd1Cu2Ge1S4,26150,31,0.86,0.642,0.035,2,1,5.29,14.71,1139.2,2.62,7.46,Non-Zintl
Cd1Cu2Ge1Se4,619750,121,0.16,0.668,0.015,3,1,6.04,12.28,3490.23,3.48,11.1,Non-Zintl
Cd1Cu2S4Si1,16924,31,1.49,1.266,0.054,1,1,5.53,5.54,632.08,0.83,5.54,Non-Zintl
Cd1Cu2S4Si1,2780,31,1.49,1.274,0.052,1,1,6.97,5.49,663.59,0.83,5.65,Non-Zintl
Cd1Cu2S4Sn1,619774,121,0.43,0.869,0.029,3,1,7.77,8.83,1463.27,2.73,7.02,Non-Zintl
Cd1Cu2S4Sn1,619773,121,0.43,0.865,0.028,3,1,7.06,8.9,1515.4,2.73,7.11,Non-Zintl
Cd1Cu2Se4Si1,619783,31,0.77,0.877,0.024,1,1,4.83,7.96,1790.66,1.2,10.51,Non-Zintl
Cd1Cu2Se4Sn1,619784,121,0,0.648,0.014,3,1,4.81,11.2,3394.57,3.71,12.17,Non-Zintl
Cd1Cu2Si1Te4,656151,121,0.56,0.453,0.024,3,1,3.96,17.74,1424.54,4.64,8.94,Non-Zintl
Cd1Cu2Sn1Te4,656157,121,0.05,0.485,0.015,2,1,4.36,16.94,2986.29,2.88,11.4,Non-Zintl
Cd1Ga1In1S4,20785,164,0.32,1.776,0.076,8,1,0.55,0.27,30.48,9.9,8.22,Non-Zintl
Cd1Ga2O4,159739,227,1.6,5.257,0.039,5,1,10.04,1.54,2450.9,1.65,6.29,Non-Zintl
Cd1Ga2S4,106362,82,2.13,1.503,0.065,7,1,7.31,2.43,271.93,4.8,4.52,Non-Zintl
Cd1Ga2Se4,30908,82,1.35,1.301,0.036,3,1,4.24,2.55,555.98,2.65,7.6,Non-Zintl
Cd1Ga2Te4,25646,82,1.04,0.763,0.034,2,1,2.84,4.5,482.48,2.63,8.54,Non-Zintl
Cd1Ge1Li2S4,249872,31,2.272,1.069,0.088,3,1,3.32,4.54,174.74,3.327,4.323,Non-Zintl
Cd1Ge1O3,158753,62,0.86,1.688,0.031,1,1,12.05,9.58,3877.8,0.76,8.34,Non-Zintl
Cd1Ge1O3,30971,148,1.4,5.572,0.037,6,1,29.89,1.29,2367.05,1.83,6.16,Non-Zintl
Cd1Ge1O3,20225,15,1.46,5.009,0.053,3,1,4.6,0.73,659.33,1.46,7.44,Non-Zintl
Cd1Ge1P2,619939,122,0.66,0.278,0.017,1,1,8.97,53,3508.5,1.67,8.93,Non-Zintl
Cd1Ge2O5,23039,2,1.46,3.634,0.039,3,1,8.83,1.51,1361.95,1.6,8.11,Non-Zintl
Cd1Hg1O2,74848,12,0.52,1.009,0.328,5,1,0.58,1.42,7.67,9.3,3.65,Non-Zintl
Cd1In2O4,52389,141,0.93,5.537,0.029,6,1,20.51,1.16,3070.22,2.05,7.99,Non-Zintl
Cd1In2O4,159740,227,0.93,6.492,0.033,5,1,7.26,0.92,2496.52,1.55,7.31,Non-Zintl
Cd1In2S4,108215,227,1.08,4.163,0.024,4,1,4.01,0.9,2004.58,1.6,8.7,Non-Zintl
Cd1In2S4,620027,227,1.08,4.164,0.024,4,1,4.01,0.9,2007.02,1.6,8.7,Non-Zintl
Cd1In2Se4,52811,227,0.08,3.321,0.009,4,1,2.46,0.99,6856.9,2.15,18.55,Non-Zintl
Cd1In2Se4,151955,121,0.77,0.935,0.029,2,1,2.93,3.38,614,2.34,9.36,Non-Zintl
Cd1In2Se4,151954,82,0.97,0.962,0.034,3,1,2.71,3.09,469.17,3.49,8.67,Non-Zintl
Cd1In2Se4,43034,111,0.88,1.503,0.031,3,1,3.5,1.84,616.51,2.52,8.6,Non-Zintl
Cd1In2Se4,620044,121,0.77,0.932,0.029,2,1,2.93,3.41,609.91,2.34,9.32,Non-Zintl
Cd1In2Te4,25651,82,0.83,0.753,0.031,2,1,2.41,4.13,505.85,2.73,9.34,Non-Zintl
Cd1K1Sb1,620064,129,0.07,1.191,0.489,1,2,0.85,1.94,7.37,0.96,3.28,Non-Zintl
Cd1K2O2,25004,60,1.38,6.858,0.124,2,1,2.85,0.26,107.79,0.74,4.11,Non-Zintl
Cd1K2Sb2Sr1,422273,26,0.34,0.786,0.03,2,1,1.03,3.72,500.5,2.79,9.9,Non-Zintl
Cd1K4P2,61084,12,0.84,5.091,0.107,3,1,1.3,0.17,54.97,0.93,3.15,Non-Zintl
Cd1K6O4,62053,186,1.63,6.58,0.151,7,1,2.22,0.23,64.84,2.63,3.61,Non-Zintl
Cd1K6Te4,420087,186,1.67,2.317,0.119,1,1,0.92,0.48,40.93,0.83,4.93,Non-Zintl
Cd1Li2S4Sn1,249873,31,1.948,1.165,0.091,3,1,2.64,3.92,143.51,4.078,4.562,Non-Zintl
Cd1Mo6S8,620169,148,0.02,0.662,0.71,2,1,2.79,11.22,10.11,3.02,1.45,Non-Zintl
Cd1Mo6Se8,620172,148,0.12,0.494,0.984,1,1,1.7,14.94,5.31,2.07,1.37,Non-Zintl
Cd1Na2S4Sn1,281233,5,1.93,0.577,0.148,3,1,5.48,7.46,57.71,3.71,2.8,Non-Zintl
Cd1Na4P2,67262,166,0.74,1.83,0.058,2,1,1.72,1.13,200.39,1.12,4.43,Non-Zintl
Cd1O2,36151,205,1.3,1.217,3.131,2,2,6.08,9.51,2.3,1.71,0.97,Non-Zintl
Cd1O2,109339,205,1.3,1.195,3.149,2,2,6.08,9.77,2.28,1.73,0.97,Non-Zintl
Cd1O2Rb2,62054,60,1.32,7.052,0.114,2,1,2.06,0.22,109.26,0.84,4.97,Non-Zintl
Cd1O3Sn1,180402,62,0.7,1.429,0.023,3,1,10.66,10.95,5223.65,2.55,10.02,Non-Zintl
Cd1O3Sn1,180400,148,0.97,6.565,0.028,4,1,18.03,0.88,3207.06,1.16,7.68,Non-Zintl
Cd1O3Ti1,62150,62,2.44,1.975,0.73,3,2,15.51,7.9,35.12,1.82,2.2,Non-Zintl
Cd1O3Ti1,262710,62,2.44,1.966,0.747,3,2,16.15,7.95,33.99,1.82,2.17,Non-Zintl
Cd1O3Ti1,262708,148,3.02,4.742,3.602,4,1,11.34,1.66,2.51,1.22,0.36,Non-Zintl
Cd1O3Ti1,62151,33,2.44,1.981,0.729,3,2,15.51,7.86,35.21,1.81,2.2,Non-Zintl
Cd1P2,620214,33,1.43,0.456,0.63,2,4,6.63,21.28,13.1,2.85,4.7,Non-Zintl
Cd1P2,16500,96,1.46,0.97,0.503,3,4,6.08,6.87,18.4,3.33,6.59,Non-Zintl
Cd1P2,620210,92,1.46,0.953,0.487,3,4,4.39,7.06,19.33,3.37,6.72,Non-Zintl
Cd1P2Si1,620242,122,1.42,0.31,0.179,1,1,16.45,51.74,118.22,1.4,1.94,Non-Zintl
Cd1P2Sn1,620246,122,0.29,0.486,0.012,1,1,7.03,20.29,5255.02,1.25,11.5,Non-Zintl
Cd1P4,25605,14,0.49,0.078,0.444,1,2,11.61,301.64,22.3,3.85,2.72,Non-Zintl
Cd1S1,67776,186,1.18,2.661,0.028,4,2,9.51,1.41,1322.55,1.59,12.27,Non-Zintl
Cd1S1,181739,216,1.05,0.959,0.034,3,1,21.71,6.85,1009.03,1.67,4.1,Non-Zintl
Cd1S1,108230,225,0.28,2.944,0.064,3,3,7.81,1.73,535.58,0.88,8.77,Non-Zintl
Cd1S2,620305,205,1.21,0.584,2.883,2,2,3.58,15.23,1.39,2.6,1,Non-Zintl
Cd1S4Sc2,620332,227,1.24,0.957,0.116,3,1,5.97,8.76,208.78,2.4,2.85,Non-Zintl
Cd1S4Sc2,94994,227,1.24,0.961,0.114,3,1,5.95,8.71,213.29,2.4,2.87,Non-Zintl
Cd1S4Sc2,94993,216,1.244,0.961,0.114,3,1,5.99,8.2,214.4,2.204,2.878,Non-Zintl
Cd1S4Y2,620370,227,1.32,1.185,0.091,3,1,4.64,5.56,261.48,2.28,3.54,Non-Zintl
Cd1S4Y2,61697,227,1.322,1.183,0.092,3,1,4.59,7.18,259,3.243,3.526,Non-Zintl
Cd1Sb1,52831,61,0.08,0.106,0.025,3,6,1.5,136.5,1217.89,15.29,73.39,Non-Zintl
Cd1Sc2Se4,620411,227,0.74,0.763,0.073,3,1,3.52,10.21,343.36,3.35,4.56,Non-Zintl
Cd1Se1,415784,186,0.59,0.815,0.015,3,1,6.59,7.07,2868.4,2.61,9.61,Non-Zintl
Cd1Se1,620439,216,0.52,0.863,0.016,3,1,20.53,8.12,3145.87,1.83,6.61,Non-Zintl
Cd1Se2,620416,205,0.62,0.523,1.645,2,2,2.81,15.31,2.74,3.27,1.64,Non-Zintl
Cd1Se4Y2,620457,227,0.8,0.921,0.056,3,1,2.9,6.77,447.79,3.12,5.56,Non-Zintl
Cd1Te1,620518,186,0.65,0.689,0.015,3,1,4.61,7.26,2247.99,3.06,10.13,Non-Zintl
Cd1Te1,43712,216,0.6,0.692,0.016,3,1,8.64,7.3,2077.15,2.46,7.86,Non-Zintl
Cd1Te2Zn1,181019,122,0.8,0.535,0.015,3,1,3.15,11.62,2401.58,4.33,12.18,Non-Zintl
Cd2Ge1O4,30859,62,1.09,2.879,0.04,3,1,4.14,2.36,1443.74,1.98,8.6,Non-Zintl
Cd2K2O3,16223,14,0.67,1.509,0.061,2,1,3.48,3.06,380.77,1.7,5.84,Non-Zintl
Cd2Na14O9,2195,147,1.4,6.981,0.086,5,1,2.98,0.32,230.26,1.69,4.72,Non-Zintl
Cd2O4Si1,161025,227,1.04,1.437,0.06,3,1,9.87,10.47,1221.48,2.14,4.79,Non-Zintl
Cd2O4Si1,50529,70,1.49,4.564,0.05,3,1,14.87,1.24,1077.89,1.21,6.02,Non-Zintl
Cd2O4Sn1,69297,55,0.41,3.47,0.02,4,1,7.09,2.43,5513.6,1.9,10.45,Non-Zintl
Cd2P2Sr1,30912,164,0.72,0.304,0.039,3,1,3.36,38.26,827.7,4.73,5.4,Non-Zintl
Cd3O5Si1,23170,129,0.97,1,0.042,6,1,4.33,14.32,1646.61,6.16,6.85,Non-Zintl
Cd4Ge1S6,26214,9,1.35,0.902,0.051,2,1,2.34,4.69,346.79,2.83,7.91,Non-Zintl
Cd4K6Se13Sn3,413739,160,1.37,0.365,0.108,5,1,0.54,2.5,15.66,16.42,6.84,Non-Zintl
Cd4S6Si1,16238,9,1.44,1.218,0.052,2,1,2.53,3.15,357.76,2.27,7.55,Non-Zintl
Cd4Se6Si1,96265,9,0.82,0.765,0.034,2,1,1.97,5.28,572.72,3.48,11.34,Non-Zintl
Cd6Sb12Sr11,418887,12,0.31,0.34,0.508,1,2,1.23,20.31,11.1,2.85,4.47,Non-Zintl
CdGeAs2,153595,122,0.1,0.502,0.017,2,1,5.05,17.23,2765.28,2.74,10.44,Non-Zintl
CdGeP2,657299,122,0.67,0.275,0.018,1,1,8.84,53.93,3220.57,1.68,8.63,Non-Zintl
CdSnAs2,609985,122,0.07,0.47,0.021,3,1,4.55,17.63,1864.67,4.32,9.3,Non-Zintl
CdSnSb2,44259,122,0.07,0.382,0.025,3,1,3.11,18.64,1112.11,5.21,8.92,Non-Zintl
CdTe,183365,216,0.61,0.69,0.016,3,1,8.75,7.39,2094.31,2.46,7.84,Non-Zintl
Co1Cr2O4,61612,227,0.1,0.686,3.188,6,1,15.38,41.74,4.17,6.15,0.41,Non-Zintl
Co1Cr2S4,43039,227,0.72,0.713,11.032,1.5,0.5,6.24,15.67,0.26,1.53,0.1,Non-Zintl
Co1Cr2S4,622503,227,0.72,0.714,10.886,1.5,0.5,6.22,15.6,0.26,1.53,0.1,Non-Zintl
Co1Cr2S4,622504,227,0.73,0.713,11.197,1.5,0.5,6.2,15.6,0.25,1.53,0.1,Non-Zintl
Co1Cr2S4,169878,227,0.72,0.709,11.108,1.5,0.5,6.22,15.75,0.25,1.53,0.1,Non-Zintl
Co1Cr2S4,603918,227,0.73,0.717,11.041,1.5,0.5,6.22,15.5,0.26,1.52,0.1,Non-Zintl
Co1Cr2S4,622497,227,0.73,0.718,10.928,1.5,0.5,6.22,15.45,0.26,1.52,0.1,Non-Zintl
Co1Cr2S4,622501,227,0.72,0.713,10.972,1.5,0.5,6.22,15.62,0.26,1.53,0.1,Non-Zintl
Co1Cr2S4,52942,227,0.73,0.718,10.94,1.5,0.5,6.22,15.47,0.26,1.52,0.1,Non-Zintl
Co1Cr2Se4,601038,12,0.01,0.13,1.466,0.5,2,3.08,143.32,3.79,1.58,1.48,Non-Zintl
Co1Cu2Ge1S4,99293,121,0.52,0.533,1.367,2,0.5,9.69,21.55,5.25,2.27,0.32,Non-Zintl
Co1Cu2S4Si1,622576,121,0.66,0.502,7.017,3,0.5,12.81,24.81,0.48,3.33,0.11,Non-Zintl
Co1Cu2S4Si1,99292,121,0.66,0.511,7.165,3,0.5,12.81,24.18,0.46,3.3,0.11,Non-Zintl
Co1Cu2S4Sn1,99294,121,0.49,0.68,0.786,1.5,1.5,8.12,13.8,11.09,1.53,1.41,Non-Zintl
Co1Cu2S4Sn1,622578,121,0.49,0.686,0.775,1.5,1.5,8.19,13.65,11.38,1.52,1.42,Non-Zintl
Co1Cu2Se4Sn1,99296,121,0.07,0.554,0.01,1.5,2,5.12,15.68,6309.58,1.98,29.13,Non-Zintl
Co1Ga2S4,52961,82,1.56,1.232,14.55,1.5,0.5,9.46,3.73,0.09,1.09,0.08,Non-Zintl
Co1K2S2,623958,72,2.08,2.509,7.917,4,3,1.6,0.77,0.14,2.05,0.77,Non-Zintl
Co1K2Se2,67390,72,1.97,2.531,5.896,8,4,1.19,0.64,0.18,4.83,1.45,Non-Zintl
Co1K6S4,68603,186,1.96,4.403,0.603,5,1,1.67,0.29,5.75,2.14,1.41,Non-Zintl
Co1K6Se4,68605,186,1.77,2.554,0.494,5,1,1.28,0.57,6.67,3.46,1.85,Non-Zintl
Co1Mo2S4,2018,9,0.54,1.582,2.839,1,2,2.9,4.49,1.87,0.95,1.34,Non-Zintl
Co1Mo2S4,624227,9,0.45,2.417,2.073,1,1,6.07,4.07,5.13,0.57,0.62,Non-Zintl
Co1Mo2S4,94752,9,0.47,1.166,2.228,1,2,3.12,7.3,2.76,1.13,1.53,Non-Zintl
Co1Na2S2,67386,72,1.78,0.861,7.393,8,3,3.8,4.9,0.19,7.65,0.79,Non-Zintl
Co1Na6S4,37012,186,2.15,4.728,9.108,4,1,2.65,0.36,0.14,1.57,0.27,Non-Zintl
Co1Na6Se4,82351,29,1.84,2.382,4.833,3,1,1.61,0.79,0.27,2.22,0.48,Non-Zintl
Co1Na6Se4,68604,186,1.84,2.463,4.672,3,1,1.66,0.75,0.29,2.18,0.49,Non-Zintl
Co1Rb2S2,67388,72,2.13,4.927,8.444,4,2,1.17,0.24,0.11,1.62,0.59,Non-Zintl
Co1Rb2Se2,67391,72,1.98,2.365,8.449,8,2,0.95,0.63,0.09,5.62,0.65,Non-Zintl
Co1Rh2S4,174043,227,0.78,2.008,0.435,2,9,992.46,49.07,486.88,0.36,4.11,Non-Zintl
Co2Ge3S3,404663,146,0.46,0.085,2.281,1,4,6.33,545.48,3.91,5,2.77,Non-Zintl
Co2Ge3S3,655009,146,0.46,0.084,2.281,1,4,5.7,555.26,3.91,5.04,2.77,Non-Zintl
Co2Na5S5,201439,107,0.55,1.716,3.006,5,0.5,8.43,4.63,2,2.15,0.15,Non-Zintl
Co2Nb4Pd1Se12,41026,12,0.11,1.909,1.743,3,1,0.4,0.17,0.19,4.23,1.49,Non-Zintl
Co2O3Rb2,95833,62,0.01,0.503,0.692,10,2,1.72,9.27,5.74,22.83,3.77,Non-Zintl
Co3Rb2S4,624797,72,1.22,1.016,2.888,5,2,1.41,3.24,0.68,6.12,1.31,Non-Zintl
Co3S4,56125,227,0.66,4.082,1.759,3,3,6.78,1.37,4.86,1.14,1.89,Non-Zintl
Co3S4,624840,227,0.66,4.126,1.778,3,3,6.55,1.35,4.78,1.13,1.88,Non-Zintl
Co3Se4,42538,227,0.42,3.272,0.554,3,9,3.97,1.61,23.14,1.57,13.67,Non-Zintl
Co8Ni1S8,624466,225,0.12,1.122,0.963,3,2,1.72,2.9,3.65,3.87,2.83,Non-Zintl
Co9S8,657415,225,0.23,1.479,6.894,2.5,0.5,2.41,2.83,0.28,2.39,0.19,Non-Zintl
Co9S8,660368,225,0.22,1.491,6.392,2.5,0.5,2.4,2.79,0.31,2.38,0.2,Non-Zintl
Co9S8,600664,225,0.22,1.478,6.627,2.5,0.5,2.44,2.83,0.3,2.39,0.19,Non-Zintl
Co9S8,624834,225,0.22,1.376,6.37,3,0.5,2.44,3.15,0.32,3,0.2,Non-Zintl
Co9S8,31753,225,0.22,2.156,6.032,1.5,0.5,2.48,1.6,0.34,1.15,0.21,Non-Zintl
Co9S8,23929,225,0.22,1.4,6.302,3,0.5,2.41,3.07,0.32,2.96,0.2,Non-Zintl
Co9S8,40046,225,0.22,1.353,6.46,3,0.5,2.41,3.23,0.31,3.03,0.2,Non-Zintl
Co9Se8,44857,225,0.31,1.205,9.152,2,0.5,1.94,3.7,0.18,2.4,0.18,Non-Zintl
CoO,29082,216,0.51,1.146,0.03,1.5,1,77.41,12.47,2945.78,0.66,3.91,Non-Zintl
Cr1Ga1Se3,66279,62,0.9,1.727,1.332,1,2,1.59,1.45,2.14,1.03,2.42,Non-Zintl
Cr1K1S2,42406,166,1.39,2.358,0.694,1,1.5,5.13,1.74,10.9,0.35,1.1,Non-Zintl
Cr1K1S2,42407,166,1.38,2.216,0.676,1,1.5,5.15,1.91,11.36,0.36,1.11,Non-Zintl
Cr1K1S2,25723,166,1.39,2.274,0.685,1,1.5,5.13,1.84,11.13,0.36,1.1,Non-Zintl
Cr1La1S3,51123,62,0.61,0.326,0.283,1,5,3.04,50.96,63.12,1.93,10.53,Non-Zintl
Cr1La1Se3,626229,62,0.21,0.241,2.276,1,2,2.28,66.31,2.29,2.75,1.43,Non-Zintl
Cr1Mo2S4,94748,9,0.21,1.924,0.443,5,1,4.09,4.63,41.93,3.81,1.84,Non-Zintl
Cr1Mo2S4,626322,9,0.15,1.085,0.775,1,1,3.02,7.27,12.03,1.18,1.45,Non-Zintl
Cr1Na1O8W2,161849,13,0.22,10.428,11.013,1,1,6.39,0.31,0.29,0.33,0.32,Non-Zintl
Cr1Na1S2,42390,166,1.25,2.585,0.693,1,1.5,5.77,1.61,11.6,0.34,1.12,Non-Zintl
Cr1Na1S2,660322,166,1.25,2.636,0.697,1,1.5,5.29,1.56,11.48,0.34,1.12,Non-Zintl
