compound,icsd,sg,Eg (eV),m*b (vb),m*b (cb),Nb (vb),Nb (cb),kL,mob (h),mob (e),beta (p),beta (n),cite
O3Sn1Zn1,165122,161,1.09,4.884,0.036,2,1,30.9,1.82,2830.17,0.62,5.87,Non-Zintl
O3Sn1Zn1,50404,148,1.29,5.146,0.036,4,1,9.03,1.42,2437.44,1.29,6.32,Non-Zintl
O3Sr1Ti1,27045,221,2.11,1.057,0.651,9,3,6.17,18.32,37.9,4.75,2.12,Non-Zintl
O3Sr1Ti1,182763,140,2.23,1.16,0.69,10,3,5.13,15.64,34.03,6.27,2.57,Non-Zintl
O3Sr1Ti1,182248,46,2.23,1.154,0.689,10,3,7.58,15.75,34.14,6.29,2.57,Non-Zintl
O3Sr1Ti1,184455,221,2.11,1.06,0.664,9,3,5.86,18.24,36.77,4.74,2.09,Non-Zintl
O3Sr1Zr1,89355,63,3.81,1.139,0.409,8,1,8.36,13.97,64.82,6.56,1.51,Non-Zintl
O3Sr1Zr1,173398,62,4.06,4.932,0.313,5,3,23.12,1.55,97.13,1.71,5.36,Non-Zintl
O3Sr1Zr1,29153,221,3.61,1.039,0.376,13,3,5.03,16.66,76.73,7.01,2.98,Non-Zintl
O3Sr1Zr1,89357,140,3.97,2.484,0.587,6,2,8.63,4.2,36.6,2.52,2,Non-Zintl
O3Ti1Zn1,22382,148,3.16,4.331,8.25,4,2,15.23,2.16,0.82,1.19,0.4,Non-Zintl
O3Ti2,647544,167,0.44,0.996,1.774,3,5,24.02,23.11,9.73,1.87,2.21,Non-Zintl
O3Y2,181828,62,3.08,4.121,0.395,2,1,8.35,1.85,62.14,0.83,1.69,Non-Zintl
O3Y2,647650,12,4.11,2.698,0.216,2,1,10.07,3.6,159.01,0.91,2.08,Non-Zintl
O3Y2,160204,164,3.89,0.938,0.171,1,1,14.87,16.75,215.94,0.63,1.76,Non-Zintl
O3Y2,160219,12,4.11,1.644,0.213,4,1,11.82,7.57,162.6,2.46,2.09,Non-Zintl
O4Pb1Sr2,16806,55,1.42,3.982,0.122,3,1,3.72,1.37,253.47,1.39,3.74,Non-Zintl
O4Pb2Sn1,31483,55,2.07,2.795,0.109,2,1,2.19,1.18,152.74,1.93,6.77,Non-Zintl
O4Pb3,97282,55,0.94,0.222,0.379,1,2,1.16,28.02,12.52,5.03,7.29,Non-Zintl
O4Pb3,4107,55,1.2,2.961,0.22,2,1,1.64,0.87,43.09,2.07,4.93,Non-Zintl
O4Pb3,29094,117,1.12,2.422,0.174,2,1,1.61,1.14,59.14,2.35,5.71,Non-Zintl
O4Pb3,36253,135,1.12,2.415,0.176,2,1,1.57,1.15,58.2,2.35,5.65,Non-Zintl
O4Rb2Zn3,40754,15,1.42,1.085,0.074,3,1,2.28,5.39,300.56,3.55,5.9,Non-Zintl
O4Rb4Sn1,280293,2,2.17,6.717,0.198,2,1,1.54,0.19,37.63,0.84,3.48,Non-Zintl
O4Si1Sr2,35667,62,4.38,1.706,0.118,2,1,4.04,3.96,218.48,1.72,4.29,Non-Zintl
O4Si1Sr2,36041,14,4.47,5.948,0.113,2,1,4.06,0.67,256.93,0.78,4.24,Non-Zintl
O4Si1Ti1,166438,88,2.59,3.929,8.271,2,3,76.64,3,0.98,0.59,0.57,Non-Zintl
O4Si1Ti1,166436,63,1.98,1.784,1.634,2,1,30.26,5.22,5.95,1.06,0.56,Non-Zintl
O4Si1Ti1,166437,141,2.78,1.876,6.844,1,3,107.15,9.82,1.41,0.41,0.57,Non-Zintl
O4Si1Zn2,9147,122,2.66,8.378,0.07,3,1,31.56,0.65,847.26,0.68,3.98,Non-Zintl
O4Si1Zn2,167192,61,2.29,1.733,0.049,1,1,14.56,10.23,2141.61,0.72,6.09,Non-Zintl
O4Si1Zn2,167191,74,2.09,2.737,0.074,1,1,7.67,4.05,906.72,0.57,4.94,Non-Zintl
O4Si1Zn2,167189,14,2.24,3.269,0.102,2,1,4.58,1.17,212.96,1.29,5.16,Non-Zintl
