,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
1036,I80P193Sn240,ThermCond,total,κ,[0.5],[100.0],0.5,100.0
1037,I80P193Sn240,ThermCond,total,thermal conductivity,[0.5],[295],0.5,295.0
1038,OZn,ThermCond,total,thermal conductivities,[20.0],[295],20.0,295.0
1039,Cu197S100,ThermCond,total,thermal conductivity,[0.6],[307.0],0.6000000000000001,307.0
1040,Ba30Cu153S75Te35,ThermCond,lattice,κL,[0.39],[420.0],0.39,420.0
1042,CuGaTe2,ThermCond,total,thermal conductivity,[8.0],[295],8.0,295.0
1043,Ag25PbSb24Se50,ThermCond,total,κtotal,[0.35],[295],0.35000000000000003,295.0
1044,Ag25PbSb24Se50,ThermCond,lattice,κlat,[0.3],[295],0.30000000000000004,295.0
1045,Ag50BiSb49Se100,ThermCond,total,κtotal,[0.32],[295],0.32,295.0
1046,CsI3Sn,ThermCond,lattice,lattice thermal conductivities,[0.54],[295],0.54,295.0
1047,SeSn,ThermCond,lattice,lattice thermal conductivities,[0.23],[923.0],0.23,923.0
1048,CsI3Sn,ThermCond,lattice,lattice thermal conductivity,[0.54],[295],0.54,295.0
1049,SbZn,ThermCond,lattice,lattice thermal conductivity,[1.5],[295],1.5,295.0
1050,CaMnO3,ThermCond,total,thermal conductivity,[2.7],[295],2.7,295.0
1051,CaMnO3,ThermCond,total,thermal conductivity,[7.8],[300.0],7.8,300.0
1052,CaMnO3,ThermCond,total,thermal conductivity,[2.2],[295],2.2,295.0
1054,InSe,ThermCond,lattice,κL,[1.55],[830.0],1.55,830.0
1055,Bi2Te3,ThermCond,lattice,bulk κl,[1.5],[300.0],1.5,300.0
1056,Mg2Si,ThermCond,lattice,lattice thermal conductivity,[12.14],[300.0],12.14,300.0
1057,Mg64PbSi31,ThermCond,lattice,lattice thermal conductivity,[3.76],[300.0],3.76,300.0
1058,AlCa3Sb3,ThermCond,lattice,lattice thermal conductivity,[0.6],[1050.0],0.6000000000000001,1050.0
1059,P3Sb,ThermCond,total,thermal conductivities,[0.64],[300.0],0.64,300.0
1060,P3Sb,ThermCond,lattice,lattice thermal conductivities,[0.64],[300.0],0.64,300.0
1061,P3Sb,ThermCond,total,thermal conductivity,[0.64],[300.0],0.64,300.0
1063,Cu2Se,ThermCond,total,thermal conductivity,[0.9],[325.0],0.9,325.0
1064,PbTe,ThermCond,lattice,lattice thermal conductivities,[0.2],[325.0],0.2,325.0
1065,PbTe,ThermCond,lattice,lattice thermal conductivities,[0.2],[325.0],0.2,325.0
1066,Ag71Sb129Te229,ThermCond,total,thermal conductivity,[0.6],[600.0],0.6000000000000001,600.0
1067,Ag71Sb129Te229,ThermCond,total,minimum κ,[0.58],[475.0],0.58,475.0
1068,Sb2Te3,ThermCond,lattice,κL,[0.8],[295],0.8,295.0
1069,Fe,ThermCond,total,thermal conductivity,"[67.0, 145.0]",[295],106.0,295.0
1070,C2SiTi3,ThermCond,total,thermal conductivity,[32.0],[1473.0],32.0,1473.0
1071,PtSeSr2,ThermCond,total,thermal conductivities,[7.9],[295],7.9,295.0
1072,MoS2,ThermCond,total,thermal conductivity,[52.0],[295],52.0,295.0
1073,MoS2,ThermCond,total,thermal conductivities,[77.0],[295],77.0,295.0
1074,MoS2,ThermCond,total,thermal conductivities,[81.7],[295],81.7,295.0
1075,DEOPT,ThermCond,total,thermal conductivity,"[0.24, 0.29]",[295],0.265,295.0
1076,SnTe,ThermCond,total,thermal conductivity,[10.0],[295],10.0,295.0
1077,SnTe,ThermCond,total,thermal conductivity,[10.0],[295],10.0,295.0
1078,SnTe,ThermCond,total,thermal conductivity,[3.0],[295],3.0,295.0
1079,SnTe,ThermCond,total,thermal conductivity,[10.0],[295],10.0,295.0
1080,SnTe,ThermCond,total,thermal conductivity,[3.0],[295],3.0,295.0
1081,SnTe,ThermCond,total,thermal conductivity,[10.0],[295],10.0,295.0
1082,SnTe,ThermCond,total,thermal conductivity,[3.0],[295],3.0,295.0
1083,Ce3Co80In3Sb240,ThermCond,total,κ,[2.28],[300.0],2.28,300.0
1084,GeSi,ThermCond,total,thermal conductivity,[11.0],[295],11.0,295.0
1085,PbS,ThermCond,total,thermal conductivity,[0.43],[773.0],0.43,773.0
1086,PbS,ThermCond,total,thermal conductivity,"[2.3, 2.5]",[295],2.4,295.0
1087,PbS,ThermCond,lattice,lattice thermal conductivity,[0.62],[923.0],0.62,923.0
1088,PbS,ThermCond,total,thermal conductivity,[2.36],[298.0],2.36,298.0
1089,PbS,ThermCond,lattice,κL,[0.4],[773.0],0.4,773.0
1091,AlB14Y,ThermCond,total,thermal conductivity,[3.6],[1000.0],3.6,1000.0
1092,AlB14Y,ThermCond,total,thermal conductivity,[2.8],[1000.0],2.8,1000.0
1093,BiLuPt,ThermCond,total,minimum thermal conductivity,[0.252],[1401.0],0.252,1401.0
1094,Pristine,ThermCond,lattice,κlat,[2.9],[295],2.9,295.0
1095,SnTe,ThermCond,lattice,κlat,[0.5],[295],0.5,295.0
1096,SnTe,ThermCond,lattice,lattice thermal conductivity,[2.8],[300.0],2.8,300.0
1097,Se2Sn,ThermCond,total,thermal conductivity,[0.67],[295],0.67,295.0
1098,Ag97Mg100Sbx100,ThermCond,lattice,κlat,"[0.64, 0.68]",[300.0],0.66,300.0
1099,SnTe,ThermCond,total,thermal conductivity,[3.87],[873.0],3.87,873.0
1100,Mn3Sn17Te20,ThermCond,total,κ,[1.39],[873.0],1.39,873.0
1101,SnTe,ThermCond,lattice,κL,[2.43],[323.0],2.43,323.0
1102,Cu3ErTe3,ThermCond,lattice,lattice thermal conductivity,[1.2],[300.0],1.2,300.0
1103,Cu3ErTe3,ThermCond,lattice,lattice thermal conductivity,[1.2],[300.0],1.2,300.0
1104,Co4La5O15Ti,ThermCond,lattice,phonon thermal conductivity,[0.91],[580.0],0.91,580.0
1105,CNT,ThermCond,total,thermal conductivity,[3000.0],[295],3000.0,295.0
1106,CNSTW,ThermCond,total,thermal conductivity,[0.495],[295],0.495,295.0
1107,SeSn,ThermCond,total,κ,[0.62],[775.0],0.62,775.0
1108,S3Se7Sn10,ThermCond,total,κ,[0.5],[820.0],0.5,820.0
1109,Ag9GaSe6,ThermCond,total,thermal conductivity,[0.55],[335.0],0.55,335.0
1110,Pure,ThermCond,lattice,lattice thermal conductivity,"[6.0, 7.0]",[295],6.5,295.0
1111,AgCrSe2,ThermCond,total,thermal conductivity,[0.2],[773.0],0.2,773.0
1112,Ag50Bi50Se99X,ThermCond,lattice,lattice thermal conductivity,[0.27],[810.0],0.27,810.0
1113,BaCu2Te2,ThermCond,total,thermal conductivity,[0.95],[295],0.95,295.0
1114,BaCu2Te2,ThermCond,lattice,average lattice thermal conductivity,[0.6],[300.0],0.6000000000000001,300.0
1115,Ba25Cu52Te50,ThermCond,lattice,κL,[0.6],[295],0.6000000000000001,295.0
1116,Cu179PbS100,ThermCond,total,κ,[0.918],[773.0],0.9179999999999999,773.0
1117,CuFeS2,ThermCond,total,thermal conductivity,[6.0],[300.0],6.0,300.0
1118,MoS2,ThermCond,lattice,phonon thermal conductivities,[1.35],[295],1.35,295.0
1119,MoS2,ThermCond,total,κ,[23.2],[295],23.2,295.0
1120,MoS2,ThermCond,total,thermal conductivity,[42.18],[295],42.18,295.0
1121,MoS2,ThermCond,total,thermal conductivity,[34.5],[295],34.5,295.0
1122,CdCu2Se4Sn,ThermCond,total,λT,[2.0],[350.0],2.0,350.0
1123,Fe4LaSb12,ThermCond,lattice,lattice thermal conductivity,[1.4000000000000001],[295],1.4,295.0
1124,Cu9S5,ThermCond,total,κ,"[4.8, 2.2]","[323.0, 773.0]",3.5,548.0
1125,Cu9S5,ThermCond,total,κ,[2.2],[723.0],2.2,723.0
1127,Ag3Ge5P6,ThermCond,total,thermal conductivity,[1.5],[295],1.5,295.0
1128,S2Ti,ThermCond,total,thermal conductivity,[0.12],[373.0],0.12,373.0
1129,S2Ti,ThermCond,total,thermal conductivity,[4.2],[373.0],4.2,373.0
