,sorted_name,Model,Model_Type,Specifier,Value,Temperature_Value,Value_Average,Temperature_Average
20811,O2Si,Conductivity,,electrical conductivity,[68000000.0],[295],68000000.0,295.0
20812,GaSe2Tl,Conductivity,,electrical conductivity,[0.0058],[295],0.0058000000000000005,295.0
20813,MoTe2,Conductivity,,conductivity,[16.400000000000002],[295],16.4,295.0
20814,GeSe,Conductivity,,electrical conductivity,[61200.0],[295],61200.0,295.0
20815,GeTe,Conductivity,,electric conductivity,[500000.0],[295],500000.0,295.0
20816,GeTe,Conductivity,,electrical conductivity,[200000.0],[295],200000.0,295.0
20817,Ga2Te3,Conductivity,,electrical conductivity,[103.0],[850.0],103.0,850.0
20818,CoP3,Conductivity,,electrical conductivity,[6645.0],[50.0],6645.0,50.0
20819,As3Co,Conductivity,,electrical conductivity,[15.920000000000002],[50.0],15.92,50.0
20820,CoSb3,Conductivity,,conductivity,[2385.0],[50.0],2385.0,50.0
20821,IrP3,Conductivity,,electrical conductivity,[15883.6],[50.0],15883.6,50.0
20822,IrP3,Conductivity,,electrical conductivity,[38848.0],[300.0],38848.0,300.0
20823,As3Ir,Conductivity,,electrical conductivity,[14595.0],[50.0],14595.0,50.0
20824,IrSb3,Conductivity,,electrical conductivity,[236358.90000000002],[50.0],236358.9,50.0
20825,As3Rh,Conductivity,,electrical conductivity,[356670.0],[50.0],356670.0,50.0
20826,RhSb3,Conductivity,,electrical conductivity,[271740.0],[800.0],271740.0,800.0
20827,As3Rh,Conductivity,,electrical conductivity,[373614.9],[295],373614.9,295.0
20829,Pb2SeTe,Conductivity,,electrical conductivity,[111700.0],[295],111700.0,295.0
20830,PbTe,Conductivity,,electrical conductivity,[37300.0],[295],37300.0,295.0
20831,PbTe,Conductivity,,electrical conductivity,[38400.0],[323.0],38400.0,323.0
20833,Ga,Conductivity,,conductivity,[117000.0],[500.0],117000.0,500.0
20834,CuFeO2,Conductivity,,σ,[350.0],[300.0],350.0,300.0
20835,Al9Cu10FeO20,Conductivity,,Electrical conductivity,[314.29999999999995],[873.0],314.3,873.0
